Group Size,Best Estimate (Assumes 40% of Infections are Asymp/Presymp),Estimate Range (Assumes 10-70% of Infections are Asymp/Presymp),Date Updated: 11-23-2020
2651,14.1,3.54-24.8,
2652,14.2,3.55-24.8,
2653,14.2,3.55-24.8,
2654,14.2,3.55-24.8,
2655,14.2,3.55-24.8,
2656,14.2,3.55-24.8,
2657,14.2,3.55-24.8,
2658,14.2,3.55-24.9,
2659,14.2,3.55-24.9,
2660,14.2,3.56-24.9,
2661,14.2,3.56-24.9,
2662,14.2,3.56-24.9,
2663,14.2,3.56-24.9,
2664,14.2,3.56-24.9,
2665,14.2,3.56-24.9,
2666,14.2,3.56-24.9,
2667,14.2,3.57-24.9,
2668,14.2,3.57-25.0,
2669,14.2,3.57-25.0,
2670,14.2,3.57-25.0,
2671,14.3,3.57-25.0,
2672,14.3,3.57-25.0,
2673,14.3,3.57-25.0,
2674,14.3,3.57-25.0,
2675,14.3,3.58-25.0,
2676,14.3,3.58-25.0,
2677,14.3,3.58-25.0,
2678,14.3,3.58-25.0,
2679,14.3,3.58-25.1,
2680,14.3,3.58-25.1,
2681,14.3,3.58-25.1,
2682,14.3,3.59-25.1,
2683,14.3,3.59-25.1,
2684,14.3,3.59-25.1,
2685,14.3,3.59-25.1,
2686,14.3,3.59-25.1,
2687,14.3,3.59-25.1,
2688,14.3,3.59-25.1,
2689,14.3,3.59-25.1,
2690,14.4,3.60-25.2,
2691,14.4,3.60-25.2,
2692,14.4,3.60-25.2,
2693,14.4,3.60-25.2,
2694,14.4,3.60-25.2,
2695,14.4,3.60-25.2,
2696,14.4,3.60-25.2,
2697,14.4,3.61-25.2,
2698,14.4,3.61-25.2,
2699,14.4,3.61-25.2,
2700,14.4,3.61-25.3,
2701,14.4,3.61-25.3,
2702,14.4,3.61-25.3,
2703,14.4,3.61-25.3,
2704,14.4,3.62-25.3,
2705,14.4,3.62-25.3,
2706,14.4,3.62-25.3,
2707,14.4,3.62-25.3,
2708,14.5,3.62-25.3,
2709,14.5,3.62-25.3,
2710,14.5,3.62-25.3,
2711,14.5,3.62-25.4,
2712,14.5,3.63-25.4,
2713,14.5,3.63-25.4,
2714,14.5,3.63-25.4,
2715,14.5,3.63-25.4,
2716,14.5,3.63-25.4,
2717,14.5,3.63-25.4,
2718,14.5,3.63-25.4,
2719,14.5,3.64-25.4,
2720,14.5,3.64-25.4,
2721,14.5,3.64-25.4,
2722,14.5,3.64-25.5,
2723,14.5,3.64-25.5,
2724,14.5,3.64-25.5,
2725,14.5,3.64-25.5,
2726,14.5,3.64-25.5,
2727,14.6,3.65-25.5,
2728,14.6,3.65-25.5,
2729,14.6,3.65-25.5,
2730,14.6,3.65-25.5,
2731,14.6,3.65-25.5,
2732,14.6,3.65-25.6,
2733,14.6,3.65-25.6,
2734,14.6,3.66-25.6,
2735,14.6,3.66-25.6,
2736,14.6,3.66-25.6,
2737,14.6,3.66-25.6,
2738,14.6,3.66-25.6,
2739,14.6,3.66-25.6,
2740,14.6,3.66-25.6,
2741,14.6,3.66-25.6,
2742,14.6,3.67-25.6,
2743,14.6,3.67-25.7,
2744,14.6,3.67-25.7,
2745,14.6,3.67-25.7,
2746,14.7,3.67-25.7,
2747,14.7,3.67-25.7,
2748,14.7,3.67-25.7,
2749,14.7,3.68-25.7,
2750,14.7,3.68-25.7,
2751,14.7,3.68-25.7,
2752,14.7,3.68-25.7,
2753,14.7,3.68-25.7,
2754,14.7,3.68-25.8,
2755,14.7,3.68-25.8,
2756,14.7,3.68-25.8,
2757,14.7,3.69-25.8,
2758,14.7,3.69-25.8,
2759,14.7,3.69-25.8,
2760,14.7,3.69-25.8,
2761,14.7,3.69-25.8,
2762,14.7,3.69-25.8,
2763,14.7,3.69-25.8,
2764,14.8,3.70-25.9,
2765,14.8,3.70-25.9,
2766,14.8,3.70-25.9,
2767,14.8,3.70-25.9,
2768,14.8,3.70-25.9,
2769,14.8,3.70-25.9,
2770,14.8,3.70-25.9,
2771,14.8,3.70-25.9,
2772,14.8,3.71-25.9,
2773,14.8,3.71-25.9,
2774,14.8,3.71-25.9,
2775,14.8,3.71-26.0,
2776,14.8,3.71-26.0,
2777,14.8,3.71-26.0,
2778,14.8,3.71-26.0,
2779,14.8,3.72-26.0,
2780,14.8,3.72-26.0,
2781,14.8,3.72-26.0,
2782,14.8,3.72-26.0,
2783,14.9,3.72-26.0,
2784,14.9,3.72-26.0,
2785,14.9,3.72-26.0,
2786,14.9,3.72-26.1,
2787,14.9,3.73-26.1,
2788,14.9,3.73-26.1,
2789,14.9,3.73-26.1,
2790,14.9,3.73-26.1,
2791,14.9,3.73-26.1,
2792,14.9,3.73-26.1,
2793,14.9,3.73-26.1,
2794,14.9,3.74-26.1,
2795,14.9,3.74-26.1,
2796,14.9,3.74-26.2,
2797,14.9,3.74-26.2,
2798,14.9,3.74-26.2,
2799,14.9,3.74-26.2,
2800,14.9,3.74-26.2,
2801,14.9,3.74-26.2,
2802,15.0,3.75-26.2,
2803,15.0,3.75-26.2,
2804,15.0,3.75-26.2,
2805,15.0,3.75-26.2,
2806,15.0,3.75-26.2,
2807,15.0,3.75-26.3,
2808,15.0,3.75-26.3,
2809,15.0,3.76-26.3,
2810,15.0,3.76-26.3,
2811,15.0,3.76-26.3,
2812,15.0,3.76-26.3,
2813,15.0,3.76-26.3,
2814,15.0,3.76-26.3,
2815,15.0,3.76-26.3,
2816,15.0,3.76-26.3,
2817,15.0,3.77-26.3,
2818,15.0,3.77-26.4,
2819,15.0,3.77-26.4,
2820,15.1,3.77-26.4,
2821,15.1,3.77-26.4,
2822,15.1,3.77-26.4,
2823,15.1,3.77-26.4,
2824,15.1,3.78-26.4,
2825,15.1,3.78-26.4,
2826,15.1,3.78-26.4,
2827,15.1,3.78-26.4,
2828,15.1,3.78-26.5,
2829,15.1,3.78-26.5,
2830,15.1,3.78-26.5,
2831,15.1,3.79-26.5,
2832,15.1,3.79-26.5,
2833,15.1,3.79-26.5,
2834,15.1,3.79-26.5,
2835,15.1,3.79-26.5,
2836,15.1,3.79-26.5,
2837,15.1,3.79-26.5,
2838,15.1,3.79-26.5,
2839,15.2,3.80-26.6,
2840,15.2,3.80-26.6,
2841,15.2,3.80-26.6,
2842,15.2,3.80-26.6,
2843,15.2,3.80-26.6,
2844,15.2,3.80-26.6,
2845,15.2,3.80-26.6,
2846,15.2,3.81-26.6,
2847,15.2,3.81-26.6,
2848,15.2,3.81-26.6,
2849,15.2,3.81-26.6,
2850,15.2,3.81-26.7,
2851,15.2,3.81-26.7,
2852,15.2,3.81-26.7,
2853,15.2,3.81-26.7,
2854,15.2,3.82-26.7,
2855,15.2,3.82-26.7,
2856,15.2,3.82-26.7,
2857,15.2,3.82-26.7,
2858,15.3,3.82-26.7,
2859,15.3,3.82-26.7,
2860,15.3,3.82-26.8,
2861,15.3,3.83-26.8,
2862,15.3,3.83-26.8,
2863,15.3,3.83-26.8,
2864,15.3,3.83-26.8,
2865,15.3,3.83-26.8,
2866,15.3,3.83-26.8,
2867,15.3,3.83-26.8,
2868,15.3,3.83-26.8,
2869,15.3,3.84-26.8,
2870,15.3,3.84-26.8,
2871,15.3,3.84-26.9,
2872,15.3,3.84-26.9,
2873,15.3,3.84-26.9,
2874,15.3,3.84-26.9,
2875,15.3,3.84-26.9,
2876,15.4,3.85-26.9,
2877,15.4,3.85-26.9,
2878,15.4,3.85-26.9,
2879,15.4,3.85-26.9,
2880,15.4,3.85-26.9,
2881,15.4,3.85-26.9,
2882,15.4,3.85-27.0,
2883,15.4,3.85-27.0,
2884,15.4,3.86-27.0,
2885,15.4,3.86-27.0,
2886,15.4,3.86-27.0,
2887,15.4,3.86-27.0,
2888,15.4,3.86-27.0,
2889,15.4,3.86-27.0,
2890,15.4,3.86-27.0,
2891,15.4,3.87-27.0,
2892,15.4,3.87-27.1,
2893,15.4,3.87-27.1,
2894,15.4,3.87-27.1,
2895,15.5,3.87-27.1,
2896,15.5,3.87-27.1,
2897,15.5,3.87-27.1,
2898,15.5,3.87-27.1,
2899,15.5,3.88-27.1,
2900,15.5,3.88-27.1,
2901,15.5,3.88-27.1,
2902,15.5,3.88-27.1,
2903,15.5,3.88-27.2,
2904,15.5,3.88-27.2,
2905,15.5,3.88-27.2,
2906,15.5,3.89-27.2,
2907,15.5,3.89-27.2,
2908,15.5,3.89-27.2,
2909,15.5,3.89-27.2,
2910,15.5,3.89-27.2,
2911,15.5,3.89-27.2,
2912,15.5,3.89-27.2,
2913,15.5,3.89-27.2,
2914,15.6,3.90-27.3,
2915,15.6,3.90-27.3,
2916,15.6,3.90-27.3,
2917,15.6,3.90-27.3,
2918,15.6,3.90-27.3,
2919,15.6,3.90-27.3,
2920,15.6,3.90-27.3,
2921,15.6,3.91-27.3,
2922,15.6,3.91-27.3,
2923,15.6,3.91-27.3,
2924,15.6,3.91-27.4,
2925,15.6,3.91-27.4,
2926,15.6,3.91-27.4,
2927,15.6,3.91-27.4,
2928,15.6,3.91-27.4,
2929,15.6,3.92-27.4,
2930,15.6,3.92-27.4,
2931,15.6,3.92-27.4,
2932,15.7,3.92-27.4,
2933,15.7,3.92-27.4,
2934,15.7,3.92-27.4,
2935,15.7,3.92-27.5,
2936,15.7,3.93-27.5,
2937,15.7,3.93-27.5,
2938,15.7,3.93-27.5,
2939,15.7,3.93-27.5,
2940,15.7,3.93-27.5,
2941,15.7,3.93-27.5,
2942,15.7,3.93-27.5,
2943,15.7,3.93-27.5,
2944,15.7,3.94-27.5,
2945,15.7,3.94-27.5,
2946,15.7,3.94-27.6,
2947,15.7,3.94-27.6,
2948,15.7,3.94-27.6,
2949,15.7,3.94-27.6,
2950,15.7,3.94-27.6,
2951,15.8,3.95-27.6,
2952,15.8,3.95-27.6,
2953,15.8,3.95-27.6,
2954,15.8,3.95-27.6,
2955,15.8,3.95-27.6,
2956,15.8,3.95-27.7,
2957,15.8,3.95-27.7,
2958,15.8,3.96-27.7,
2959,15.8,3.96-27.7,
2960,15.8,3.96-27.7,
2961,15.8,3.96-27.7,
2962,15.8,3.96-27.7,
2963,15.8,3.96-27.7,
2964,15.8,3.96-27.7,
2965,15.8,3.96-27.7,
2966,15.8,3.97-27.7,
2967,15.8,3.97-27.8,
2968,15.8,3.97-27.8,
2969,15.8,3.97-27.8,
2970,15.9,3.97-27.8,
2971,15.9,3.97-27.8,
2972,15.9,3.97-27.8,
2973,15.9,3.98-27.8,
2974,15.9,3.98-27.8,
2975,15.9,3.98-27.8,
2976,15.9,3.98-27.8,
2977,15.9,3.98-27.8,
2978,15.9,3.98-27.9,
2979,15.9,3.98-27.9,
2980,15.9,3.98-27.9,
2981,15.9,3.99-27.9,
2982,15.9,3.99-27.9,
2983,15.9,3.99-27.9,
2984,15.9,3.99-27.9,
2985,15.9,3.99-27.9,
2986,15.9,3.99-27.9,
2987,15.9,3.99-27.9,
2988,16.0,4.00-28.0,
2989,16.0,4.00-28.0,
2990,16.0,4.00-28.0,
2991,16.0,4.00-28.0,
2992,16.0,4.00-28.0,
2993,16.0,4.00-28.0,
2994,16.0,4.00-28.0,
2995,16.0,4.00-28.0,
2996,16.0,4.01-28.0,
2997,16.0,4.01-28.0,
2998,16.0,4.01-28.0,
2999,16.0,4.01-28.1,
