Group Size,Best Estimate (Assumes 40% of Infections are Asymp/Presymp),Estimate Range (Assumes 10-70% of Infections are Asymp/Presymp),Date Updated: 11-23-2020
480,2.57,0.64-4.49,
481,2.57,0.64-4.50,
482,2.58,0.64-4.51,
483,2.58,0.64-4.52,
484,2.59,0.64-4.53,
485,2.59,0.64-4.54,
486,2.60,0.65-4.55,
487,2.60,0.65-4.56,
488,2.61,0.65-4.57,
489,2.61,0.65-4.58,
490,2.62,0.65-4.59,
491,2.62,0.65-4.60,
492,2.63,0.65-4.61,
493,2.64,0.66-4.62,
494,2.64,0.66-4.62,
495,2.65,0.66-4.63,
496,2.65,0.66-4.64,
497,2.66,0.66-4.65,
498,2.66,0.66-4.66,
499,2.67,0.66-4.67,
500,2.67,0.66-4.68,
501,2.68,0.67-4.69,
502,2.68,0.67-4.70,
503,2.69,0.67-4.71,
504,2.69,0.67-4.72,
505,2.70,0.67-4.73,
506,2.70,0.67-4.74,
507,2.71,0.67-4.75,
508,2.72,0.68-4.76,
509,2.72,0.68-4.77,
510,2.73,0.68-4.77,
511,2.73,0.68-4.78,
512,2.74,0.68-4.79,
513,2.74,0.68-4.80,
514,2.75,0.68-4.81,
515,2.75,0.68-4.82,
516,2.76,0.69-4.83,
517,2.76,0.69-4.84,
518,2.77,0.69-4.85,
519,2.77,0.69-4.86,
520,2.78,0.69-4.87,
521,2.78,0.69-4.88,
522,2.79,0.69-4.89,
523,2.80,0.70-4.90,
524,2.80,0.70-4.91,
525,2.81,0.70-4.91,
526,2.81,0.70-4.92,
527,2.82,0.70-4.93,
528,2.82,0.70-4.94,
529,2.83,0.70-4.95,
530,2.83,0.70-4.96,
531,2.84,0.71-4.97,
532,2.84,0.71-4.98,
533,2.85,0.71-4.99,
534,2.85,0.71-5.00,
535,2.86,0.71-5.01,
536,2.87,0.71-5.02,
537,2.87,0.71-5.03,
538,2.88,0.72-5.04,
539,2.88,0.72-5.05,
540,2.89,0.72-5.06,
541,2.89,0.72-5.06,
542,2.90,0.72-5.07,
543,2.90,0.72-5.08,
544,2.91,0.72-5.09,
545,2.91,0.72-5.10,
546,2.92,0.73-5.11,
547,2.92,0.73-5.12,
548,2.93,0.73-5.13,
549,2.93,0.73-5.14,
550,2.94,0.73-5.15,
551,2.95,0.73-5.16,
552,2.95,0.73-5.17,
553,2.96,0.74-5.18,
554,2.96,0.74-5.19,
555,2.97,0.74-5.20,
556,2.97,0.74-5.21,
557,2.98,0.74-5.21,
558,2.98,0.74-5.22,
559,2.99,0.74-5.23,
560,2.99,0.74-5.24,
561,3.00,0.75-5.25,
562,3.00,0.75-5.26,
563,3.01,0.75-5.27,
564,3.02,0.75-5.28,
565,3.02,0.75-5.29,
566,3.03,0.75-5.30,
567,3.03,0.75-5.31,
568,3.04,0.76-5.32,
569,3.04,0.76-5.33,
570,3.05,0.76-5.34,
571,3.05,0.76-5.35,
572,3.06,0.76-5.36,
573,3.06,0.76-5.36,
574,3.07,0.76-5.37,
575,3.07,0.76-5.38,
576,3.08,0.77-5.39,
577,3.08,0.77-5.40,
578,3.09,0.77-5.41,
579,3.10,0.77-5.42,
580,3.10,0.77-5.43,
581,3.11,0.77-5.44,
582,3.11,0.77-5.45,
583,3.12,0.78-5.46,
584,3.12,0.78-5.47,
585,3.13,0.78-5.48,
586,3.13,0.78-5.49,
587,3.14,0.78-5.50,
588,3.14,0.78-5.51,
589,3.15,0.78-5.51,
590,3.15,0.78-5.52,
591,3.16,0.79-5.53,
592,3.17,0.79-5.54,
593,3.17,0.79-5.55,
594,3.18,0.79-5.56,
595,3.18,0.79-5.57,
596,3.19,0.79-5.58,
597,3.19,0.79-5.59,
598,3.20,0.80-5.60,
599,3.20,0.80-5.61,
600,3.21,0.80-5.62,
601,3.21,0.80-5.63,
602,3.22,0.80-5.64,
603,3.22,0.80-5.65,
604,3.23,0.80-5.66,
605,3.23,0.80-5.66,
606,3.24,0.81-5.67,
607,3.25,0.81-5.68,
608,3.25,0.81-5.69,
609,3.26,0.81-5.70,
610,3.26,0.81-5.71,
611,3.27,0.81-5.72,
612,3.27,0.81-5.73,
613,3.28,0.82-5.74,
614,3.28,0.82-5.75,
615,3.29,0.82-5.76,
616,3.29,0.82-5.77,
617,3.30,0.82-5.78,
618,3.30,0.82-5.79,
619,3.31,0.82-5.80,
620,3.32,0.83-5.81,
621,3.32,0.83-5.81,
622,3.33,0.83-5.82,
623,3.33,0.83-5.83,
624,3.34,0.83-5.84,
625,3.34,0.83-5.85,
626,3.35,0.83-5.86,
627,3.35,0.83-5.87,
628,3.36,0.84-5.88,
629,3.36,0.84-5.89,
630,3.37,0.84-5.90,
631,3.37,0.84-5.91,
632,3.38,0.84-5.92,
633,3.38,0.84-5.93,
634,3.39,0.84-5.94,
635,3.40,0.85-5.95,
636,3.40,0.85-5.96,
637,3.41,0.85-5.96,
638,3.41,0.85-5.97,
639,3.42,0.85-5.98,
640,3.42,0.85-5.99,
641,3.43,0.85-6.00,
642,3.43,0.85-6.01,
643,3.44,0.86-6.02,
644,3.44,0.86-6.03,
645,3.45,0.86-6.04,
646,3.45,0.86-6.05,
647,3.46,0.86-6.06,
648,3.47,0.86-6.07,
649,3.47,0.86-6.08,
650,3.48,0.87-6.09,
651,3.48,0.87-6.10,
652,3.49,0.87-6.11,
653,3.49,0.87-6.11,
654,3.50,0.87-6.12,
655,3.50,0.87-6.13,
656,3.51,0.87-6.14,
657,3.51,0.87-6.15,
658,3.52,0.88-6.16,
659,3.52,0.88-6.17,
660,3.53,0.88-6.18,
661,3.53,0.88-6.19,
662,3.54,0.88-6.20,
663,3.55,0.88-6.21,
664,3.55,0.88-6.22,
665,3.56,0.89-6.23,
666,3.56,0.89-6.24,
667,3.57,0.89-6.25,
668,3.57,0.89-6.26,
669,3.58,0.89-6.26,
670,3.58,0.89-6.27,
671,3.59,0.89-6.28,
672,3.59,0.89-6.29,
673,3.60,0.90-6.30,
674,3.60,0.90-6.31,
675,3.61,0.90-6.32,
676,3.62,0.90-6.33,
677,3.62,0.90-6.34,
678,3.63,0.90-6.35,
679,3.63,0.90-6.36,
680,3.64,0.91-6.37,
681,3.64,0.91-6.38,
682,3.65,0.91-6.39,
683,3.65,0.91-6.40,
684,3.66,0.91-6.41,
685,3.66,0.91-6.41,
686,3.67,0.91-6.42,
687,3.67,0.91-6.43,
688,3.68,0.92-6.44,
689,3.68,0.92-6.45,
690,3.69,0.92-6.46,
691,3.70,0.92-6.47,
692,3.70,0.92-6.48,
693,3.71,0.92-6.49,
694,3.71,0.92-6.50,
695,3.72,0.93-6.51,
696,3.72,0.93-6.52,
697,3.73,0.93-6.53,
698,3.73,0.93-6.54,
699,3.74,0.93-6.55,
700,3.74,0.93-6.55,
701,3.75,0.93-6.56,
702,3.75,0.93-6.57,
703,3.76,0.94-6.58,
704,3.76,0.94-6.59,
705,3.77,0.94-6.60,
706,3.78,0.94-6.61,
707,3.78,0.94-6.62,
708,3.79,0.94-6.63,
709,3.79,0.94-6.64,
710,3.80,0.95-6.65,
711,3.80,0.95-6.66,
712,3.81,0.95-6.67,
713,3.81,0.95-6.68,
714,3.82,0.95-6.69,
715,3.82,0.95-6.70,
716,3.83,0.95-6.70,
717,3.83,0.95-6.71,
718,3.84,0.96-6.72,
719,3.85,0.96-6.73,
720,3.85,0.96-6.74,
721,3.86,0.96-6.75,
722,3.86,0.96-6.76,
723,3.87,0.96-6.77,
724,3.87,0.96-6.78,
725,3.88,0.97-6.79,
726,3.88,0.97-6.80,
727,3.89,0.97-6.81,
